00:37:44: Edge Data
00:37:44: ---------
00:37:44: Triangle 0 = {indexSet=0, vertexSet=0, v0=2, v1=3, v2=0}
00:37:44: Triangle 1 = {indexSet=0, vertexSet=0, v0=3, v1=1, v2=0}
00:37:44: Triangle 2 = {indexSet=0, vertexSet=0, v0=6, v1=7, v2=4}
00:37:44: Triangle 3 = {indexSet=0, vertexSet=0, v0=7, v1=5, v2=4}
00:37:44: Triangle 4 = {indexSet=0, vertexSet=0, v0=10, v1=11, v2=8}
00:37:44: Triangle 5 = {indexSet=0, vertexSet=0, v0=11, v1=9, v2=8}
00:37:44: Triangle 6 = {indexSet=0, vertexSet=0, v0=14, v1=15, v2=12}
00:37:44: Triangle 7 = {indexSet=0, vertexSet=0, v0=15, v1=13, v2=12}
00:37:44: Triangle 8 = {indexSet=0, vertexSet=0, v0=18, v1=19, v2=16}
00:37:44: Triangle 9 = {indexSet=0, vertexSet=0, v0=19, v1=17, v2=16}
00:37:44: Triangle 10 = {indexSet=0, vertexSet=0, v0=22, v1=23, v2=20}
00:37:44: Triangle 11 = {indexSet=0, vertexSet=0, v0=23, v1=21, v2=20}
00:37:44: Triangle 12 = {indexSet=0, vertexSet=0, v0=26, v1=27, v2=24}
00:37:44: Triangle 13 = {indexSet=0, vertexSet=0, v0=27, v1=25, v2=24}
00:37:44: Triangle 14 = {indexSet=0, vertexSet=0, v0=30, v1=31, v2=28}
00:37:44: Triangle 15 = {indexSet=0, vertexSet=0, v0=31, v1=29, v2=28}
00:37:44: Triangle 16 = {indexSet=0, vertexSet=0, v0=34, v1=35, v2=32}
00:37:44: Triangle 17 = {indexSet=0, vertexSet=0, v0=35, v1=33, v2=32}
00:37:44: Triangle 18 = {indexSet=0, vertexSet=0, v0=38, v1=39, v2=36}
00:37:44: Triangle 19 = {indexSet=0, vertexSet=0, v0=39, v1=37, v2=36}
00:37:44: Triangle 20 = {indexSet=0, vertexSet=0, v0=42, v1=43, v2=40}
00:37:44: Triangle 21 = {indexSet=0, vertexSet=0, v0=43, v1=41, v2=40}
00:37:44: Triangle 22 = {indexSet=0, vertexSet=0, v0=46, v1=47, v2=44}
00:37:44: Triangle 23 = {indexSet=0, vertexSet=0, v0=47, v1=45, v2=44}
00:37:44: Triangle 24 = {indexSet=0, vertexSet=0, v0=50, v1=51, v2=48}
00:37:44: Triangle 25 = {indexSet=0, vertexSet=0, v0=51, v1=49, v2=48}
00:37:44: Triangle 26 = {indexSet=0, vertexSet=0, v0=54, v1=55, v2=52}
00:37:44: Triangle 27 = {indexSet=0, vertexSet=0, v0=55, v1=53, v2=52}
00:37:44: Triangle 28 = {indexSet=0, vertexSet=0, v0=58, v1=59, v2=56}
00:37:44: Triangle 29 = {indexSet=0, vertexSet=0, v0=59, v1=57, v2=56}
00:37:44: Triangle 30 = {indexSet=0, vertexSet=0, v0=62, v1=63, v2=60}
00:37:44: Triangle 31 = {indexSet=0, vertexSet=0, v0=63, v1=61, v2=60}
00:37:44: Triangle 32 = {indexSet=0, vertexSet=0, v0=66, v1=67, v2=64}
00:37:44: Triangle 33 = {indexSet=0, vertexSet=0, v0=67, v1=65, v2=64}
00:37:44: Triangle 34 = {indexSet=0, vertexSet=0, v0=70, v1=71, v2=68}
00:37:44: Triangle 35 = {indexSet=0, vertexSet=0, v0=71, v1=69, v2=68}
00:37:44: Triangle 36 = {indexSet=0, vertexSet=0, v0=74, v1=75, v2=72}
00:37:44: Triangle 37 = {indexSet=0, vertexSet=0, v0=75, v1=73, v2=72}
00:37:44: Triangle 38 = {indexSet=0, vertexSet=0, v0=78, v1=79, v2=76}
00:37:44: Triangle 39 = {indexSet=0, vertexSet=0, v0=79, v1=77, v2=76}
00:37:44: Triangle 40 = {indexSet=0, vertexSet=0, v0=82, v1=83, v2=80}
00:37:44: Triangle 41 = {indexSet=0, vertexSet=0, v0=83, v1=81, v2=80}
00:37:44: Triangle 42 = {indexSet=0, vertexSet=0, v0=86, v1=87, v2=84}
00:37:44: Triangle 43 = {indexSet=0, vertexSet=0, v0=87, v1=85, v2=84}
00:37:44: Triangle 44 = {indexSet=0, vertexSet=0, v0=90, v1=91, v2=88}
00:37:44: Triangle 45 = {indexSet=0, vertexSet=0, v0=91, v1=89, v2=88}
00:37:44: Triangle 46 = {indexSet=0, vertexSet=0, v0=94, v1=95, v2=92}
00:37:44: Triangle 47 = {indexSet=0, vertexSet=0, v0=95, v1=93, v2=92}
00:37:44: Triangle 48 = {indexSet=0, vertexSet=0, v0=98, v1=99, v2=96}
00:37:44: Triangle 49 = {indexSet=0, vertexSet=0, v0=99, v1=97, v2=96}
00:37:44: Triangle 50 = {indexSet=0, vertexSet=0, v0=102, v1=103, v2=100}
00:37:44: Triangle 51 = {indexSet=0, vertexSet=0, v0=103, v1=101, v2=100}
00:37:44: Triangle 52 = {indexSet=0, vertexSet=0, v0=106, v1=107, v2=104}
00:37:44: Triangle 53 = {indexSet=0, vertexSet=0, v0=107, v1=105, v2=104}
00:37:44: Triangle 54 = {indexSet=0, vertexSet=0, v0=110, v1=111, v2=108}
00:37:44: Triangle 55 = {indexSet=0, vertexSet=0, v0=111, v1=109, v2=108}
00:37:44: Triangle 56 = {indexSet=0, vertexSet=0, v0=114, v1=115, v2=112}
00:37:44: Triangle 57 = {indexSet=0, vertexSet=0, v0=115, v1=113, v2=112}
00:37:44: Triangle 58 = {indexSet=0, vertexSet=0, v0=118, v1=119, v2=116}
00:37:44: Triangle 59 = {indexSet=0, vertexSet=0, v0=119, v1=117, v2=116}
00:37:44: Triangle 60 = {indexSet=0, vertexSet=0, v0=122, v1=123, v2=120}
00:37:44: Triangle 61 = {indexSet=0, vertexSet=0, v0=123, v1=121, v2=120}
00:37:44: Triangle 62 = {indexSet=0, vertexSet=0, v0=126, v1=127, v2=124}
00:37:44: Triangle 63 = {indexSet=0, vertexSet=0, v0=127, v1=125, v2=124}
00:37:44: Triangle 64 = {indexSet=0, vertexSet=0, v0=130, v1=131, v2=128}
00:37:44: Triangle 65 = {indexSet=0, vertexSet=0, v0=131, v1=129, v2=128}
00:37:44: Triangle 66 = {indexSet=0, vertexSet=0, v0=134, v1=135, v2=132}
00:37:44: Triangle 67 = {indexSet=0, vertexSet=0, v0=135, v1=133, v2=132}
00:37:44: Triangle 68 = {indexSet=0, vertexSet=0, v0=138, v1=139, v2=136}
00:37:44: Triangle 69 = {indexSet=0, vertexSet=0, v0=139, v1=137, v2=136}
00:37:44: Triangle 70 = {indexSet=0, vertexSet=0, v0=142, v1=143, v2=140}
00:37:44: Triangle 71 = {indexSet=0, vertexSet=0, v0=143, v1=141, v2=140}
00:37:44: Triangle 72 = {indexSet=0, vertexSet=0, v0=146, v1=147, v2=144}
00:37:44: Triangle 73 = {indexSet=0, vertexSet=0, v0=147, v1=145, v2=144}
00:37:44: Triangle 74 = {indexSet=0, vertexSet=0, v0=150, v1=151, v2=148}
00:37:44: Triangle 75 = {indexSet=0, vertexSet=0, v0=151, v1=149, v2=148}
00:37:44: Triangle 76 = {indexSet=0, vertexSet=0, v0=154, v1=155, v2=152}
00:37:44: Triangle 77 = {indexSet=0, vertexSet=0, v0=155, v1=153, v2=152}
00:37:44: Triangle 78 = {indexSet=0, vertexSet=0, v0=158, v1=159, v2=156}
00:37:44: Triangle 79 = {indexSet=0, vertexSet=0, v0=159, v1=157, v2=156}
00:37:44: Triangle 80 = {indexSet=0, vertexSet=0, v0=162, v1=163, v2=160}
00:37:44: Triangle 81 = {indexSet=0, vertexSet=0, v0=163, v1=161, v2=160}
00:37:44: Triangle 82 = {indexSet=0, vertexSet=0, v0=166, v1=167, v2=164}
00:37:44: Triangle 83 = {indexSet=0, vertexSet=0, v0=167, v1=165, v2=164}
00:37:44: Triangle 84 = {indexSet=0, vertexSet=0, v0=170, v1=171, v2=168}
00:37:44: Triangle 85 = {indexSet=0, vertexSet=0, v0=171, v1=169, v2=168}
00:37:44: Triangle 86 = {indexSet=0, vertexSet=0, v0=174, v1=175, v2=172}
00:37:44: Triangle 87 = {indexSet=0, vertexSet=0, v0=175, v1=173, v2=172}
00:37:44: Triangle 88 = {indexSet=0, vertexSet=0, v0=178, v1=179, v2=176}
00:37:44: Triangle 89 = {indexSet=0, vertexSet=0, v0=179, v1=177, v2=176}
00:37:44: Triangle 90 = {indexSet=0, vertexSet=0, v0=182, v1=183, v2=180}
00:37:44: Triangle 91 = {indexSet=0, vertexSet=0, v0=183, v1=181, v2=180}
00:37:44: Triangle 92 = {indexSet=0, vertexSet=0, v0=186, v1=187, v2=184}
00:37:44: Triangle 93 = {indexSet=0, vertexSet=0, v0=187, v1=185, v2=184}
00:37:44: Triangle 94 = {indexSet=0, vertexSet=0, v0=190, v1=191, v2=188}
00:37:44: Triangle 95 = {indexSet=0, vertexSet=0, v0=191, v1=189, v2=188}
00:37:44: Triangle 96 = {indexSet=0, vertexSet=0, v0=194, v1=195, v2=192}
00:37:44: Triangle 97 = {indexSet=0, vertexSet=0, v0=195, v1=193, v2=192}
00:37:44: Triangle 98 = {indexSet=0, vertexSet=0, v0=198, v1=199, v2=196}
00:37:44: Triangle 99 = {indexSet=0, vertexSet=0, v0=199, v1=197, v2=196}
00:37:44: Triangle 100 = {indexSet=0, vertexSet=0, v0=202, v1=203, v2=200}
00:37:44: Triangle 101 = {indexSet=0, vertexSet=0, v0=203, v1=201, v2=200}
00:37:44: Triangle 102 = {indexSet=0, vertexSet=0, v0=206, v1=207, v2=204}
00:37:44: Triangle 103 = {indexSet=0, vertexSet=0, v0=207, v1=205, v2=204}
00:37:44: Triangle 104 = {indexSet=0, vertexSet=0, v0=210, v1=211, v2=208}
00:37:44: Triangle 105 = {indexSet=0, vertexSet=0, v0=211, v1=209, v2=208}
00:37:44: Triangle 106 = {indexSet=0, vertexSet=0, v0=214, v1=215, v2=212}
00:37:44: Triangle 107 = {indexSet=0, vertexSet=0, v0=215, v1=213, v2=212}
00:37:44: Triangle 108 = {indexSet=0, vertexSet=0, v0=218, v1=219, v2=216}
00:37:44: Triangle 109 = {indexSet=0, vertexSet=0, v0=219, v1=217, v2=216}
00:37:44: Triangle 110 = {indexSet=0, vertexSet=0, v0=222, v1=223, v2=220}
00:37:44: Triangle 111 = {indexSet=0, vertexSet=0, v0=223, v1=221, v2=220}
00:37:44: Triangle 112 = {indexSet=0, vertexSet=0, v0=226, v1=227, v2=224}
00:37:44: Triangle 113 = {indexSet=0, vertexSet=0, v0=227, v1=225, v2=224}
00:37:44: Triangle 114 = {indexSet=0, vertexSet=0, v0=230, v1=231, v2=228}
00:37:44: Triangle 115 = {indexSet=0, vertexSet=0, v0=231, v1=229, v2=228}
00:37:44: Triangle 116 = {indexSet=0, vertexSet=0, v0=234, v1=235, v2=232}
00:37:44: Triangle 117 = {indexSet=0, vertexSet=0, v0=235, v1=233, v2=232}
00:37:44: Triangle 118 = {indexSet=0, vertexSet=0, v0=238, v1=239, v2=236}
